SKU,Qty,Amount,% of Sales,Avg Price
UD95-U2-32G (UD95 - Slim -  32GB  USB 2.0 Drive),125.0,548.75,0.0%,4.39
UD95-U2-4G (UD95 - Slim -  4GB  USB 2.0 Drive),1370.0,3840.8,0.0%,2.8
UD95-U2-8G (UD95 - Slim -  8GB  USB 2.0 Drive),100.0,417.0,0.0%,4.17
UD98-U2-16G (UD94 - Twist Deluxe- 16GB  USB 2.0 Drive),2000.0,8243.0,0.0%,4.12
UD98-U2-32G (UD94 - Twist Deluxe- 32GB  USB 2.0 Drive),100.0,574.8,0.0%,5.75
UD98-U2-8G (UD94 - Twist Deluxe- 8GB  USB 2.0 Drive),100.0,325.0,0.0%,3.25
UD98-U3-16G (UD94 - Twist Deluxe- 16GB  USB 3.0 Drive),700.0,3672.0,0.0%,5.25
UD98-U3-32G (UD94 - Twist Deluxe- 32GB  USB 3.0 Drive),100.0,593.0,0.0%,5.93
UD98-U3-64G (UD94 - Twist Deluxe- 64GB  USB 3.0 Drive),100.0,750.0,0.0%,7.5
UD98-U3-8G (UD94 - Twist Deluxe- 8GB  USB 3.0 Drive),1050.0,4862.5,0.0%,4.63
UDPVC-U2-16G (UDPVC - Custom PVC Drive - 16GB  USB 2.0 Drive),466.0,2569.1,0.0%,5.51
UDPVC-U2-32G (UDPVC - Custom PVC Drive - 32GB  USB 2.0 Drive),116.0,798.08,0.0%,6.88
UDPVC-U2-4G (UDPVC - Custom PVC Drive - 4GB  USB 2.0 Drive),600.0,2869.0,0.0%,4.78
UDPVC-U2-8G (UDPVC - Custom PVC Drive - 8GB  USB 2.0 Drive),4996.0,25601.52,0.1%,5.12
UDSPECIAL-U2-2G (Special Order USB Drive - 2GB),250.0,1050.0,0.0%,4.2
UDSPECIAL-U2-4G (Special Order USB Drive - 4GB),600.0,2006.0,0.0%,3.34
UH17-WHITE (UH17 - Hubinator - White - 4 port USB Hub.),100.0,352.2,0.0%,3.52
UH18-WHITE (UH18 -  White- 3 port USB Hub with integrated SD and Micro SD card re...,352.0,733.86,0.0%,2.08
"UH25 (UH25 - Silver 7 in 1 USB C Hub.1- USB C to 87W PD, 3 USB, 1 HDMI, 1-SD, 1-T...",260.0,4958.28,0.0%,19.07
"UH26 (UH26 - Space Grey, Type C 3 Port USB 3.0 Hub.)",550.0,1732.5,0.0%,3.15
"UH27 (UH27 - Space Grey, Type A  / Type C 3 Port USB 3.0 Hub.)",1400.0,9070.0,0.0%,6.48
"UH28 (UH28 - Space Grey, Type A  / Type C  5 in 1 USB Hub.  3 x USB 3.0 Ports, 1-...",50.0,353.4,0.0%,7.07
"UH29 (UH29 - Space Grey,  Type C  5 in 1 USB Hub.  2 x USB 3.0 Ports, 1 x HDMI, 1...",150.0,1197.0,0.0%,7.98
"UH31 (UH31 - Space Grey,  Type C  6 in 1 USB Hub.  3 x USB 3.0 Ports, 1 x Gigabit...",200.0,4466.0,0.0%,22.33
"UH38B (UH38B - Bamboo Type A/C  4 port USB Hub.  integrated USB A/C input cable,....",500.0,2750.0,0.0%,5.5
VC01 (VC01 -   Black - USB Powered Webcam.),100.0,1195.0,0.0%,11.95
"WB07 (WB07 - 2L PVC Dry Bag with Window.   Approximately 11"" x 7"" x 4.5"" PVC bag ...",1004.0,3882.0,0.0%,3.87
"WB08 (WB08 - 5L PVC Dry Bag.   Approximately 13.5"" x 11"" x 7"" PVC bag for keeping...",500.0,2541.0,0.0%,5.08
